original_id,composition,phases,hardness,yield_strength,ultimate_tensile_strength,elongation,compressive_strength,plasticity,processing_notes,doi,FCC,BCC,HCP,IM,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Ge,Hf,Li,Mg,Mn,Mo,N,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr,dataset_source,ρ (g/cm<sup>3</sup>),E (GPa),σ(MPa) at 1000 C,σ(MPa) at 1200 C,G (GPa),C11 (GPa),Fracture Toughness,ductility,Test Type
573,FeCoNi1.5CuB0.5Y0.2,FCC,,,,,1480.05,,"−196 °C, 36 h, 5 °C/min",https://doi.org/10.1016/j.jallcom.2022.164310,1.0,0.0,0.0,0.0,0.0,0.0,0.096,0.0,0.0,0.192,0.0,0.192,0.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
57,AlCoCrCuFeNiV,FCC + BCC,,,,,1469.0,16.0,,https://doi.org/10.1016/j.dib.2018.11.111,1.0,1.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.143,0.143,0.143,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
153,Al20(CoCrCuFeMnNiTiV)80,BCC,,,,,1465.0,2.0,,https://doi.org/10.1016/j.dib.2018.11.111,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
154,Al40(CoCrCuFeMnNiTiV)60,BCC + Im,,,,,1461.0,1.0,,https://doi.org/10.1016/j.dib.2018.11.111,0.0,1.0,0.0,1.0,0.0,0.4,0.0,0.0,0.0,0.075,0.075,0.075,0.075,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.075,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
352,FeCoNiCuMo,FCC1+FCC2+Cu rich,382.0,,,,1460.0,50.0,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
351,FeCoNiCuMo0.8,FCC1+FCC2+Cu rich,347.0,,,,1436.0,43.0,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.208,0.0,0.208,0.208,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
814,CuYZrTiAl,HCP1+BCC,480.0,,,,1432.0,,,dx.doi.org/10.1016/j.matdes.2016.06.100,0.0,1.0,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.2,Cu_Fe_DB.csv,,,,,,,,,
350,FeCoNiCuMo0.6,FCC,277.0,,,,1421.0,34.0,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217,0.0,0.217,0.217,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
815,CuYZrTiHf,HCP1+BCC,312.0,,,,1380.0,21.3,,dx.doi.org/10.1016/j.matdes.2016.06.100,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.2,Cu_Fe_DB.csv,,,,,,,,,
886,FeCrNiCoCu0.5Al,Unknown,582.0,,,,1355.0,9.0,,http://dx.doi.org/10.1016/j.jallcom.2014.06.090,0.0,0.0,0.0,0.0,0.0,0.182,0.0,0.0,0.0,0.182,0.182,0.091,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
885,FeCrNiCoCu0.5Al0.9,FCC+BCC,570.0,,,,1345.0,9.0,,http://dx.doi.org/10.1016/j.jallcom.2014.06.090,1.0,1.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.185,0.185,0.093,0.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
653,Al22.5Ti22.5Ni20.0Cu20.0Fe15.0,FCC1 + FCC2,370.0,,,,1335.0,8.8,1173K annealing,dx.doi.org/10.1016/j.apsusc.2015.07.207,1.0,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
570,FeCoNi1.5CuB0.5Y0.2,FCC,,,,,1331.92,,"−196 °C, 36 h, 10 °C/min",https://doi.org/10.1016/j.jallcom.2022.164310,1.0,0.0,0.0,0.0,0.0,0.0,0.096,0.0,0.0,0.192,0.0,0.192,0.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
651,Al22.5Ti22.5Ni20.0Cu20.0Fe15.0,FCC1 + FCC2,516.0,,,,1326.0,6.6,298K annealing,dx.doi.org/10.1016/j.apsusc.2015.07.207,1.0,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
151,CoCrCuFeMnNiTiV,FCC + BCC + IM,,,,,1312.0,1.0,,https://doi.org/10.1016/j.dib.2018.11.111,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
51,CoCrCuFeNiTi,FCC,,,,,1272.0,2.0,,https://doi.org/10.1016/j.dib.2018.11.111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0.167,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
657,Al25.0Ti25.0Ni25.0Cu25.0,FCC,416.0,,,,1263.0,1.2,1173K annealing,dx.doi.org/10.1016/j.apsusc.2015.07.207,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
892,Al0.5CoCrCuFeNiSi0.0,FCC+BCC,263.0,,,,1260.0,35.0,,http://dx.doi.org/10.1016/j.jallcom.2014.11.085,1.0,1.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.182,0.182,0.182,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
647,Al20.0Ti20.0Ni20.0Cu20.0Fe20.0,FCC1 + FCC2,449.0,,,,1247.0,4.3,1173K annealing,dx.doi.org/10.1016/j.apsusc.2015.07.207,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
525,AlCuFeMnTiV,FCC,596.12,,,,1238.0,7.38,Sintering temperature 1100°C,https://doi.org/10.1016/j.jallcom.2021.163352,1.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
56,AlCoCrCuFeNiTi,FCC + BCC,,,,,1234.0,9.0,,https://doi.org/10.1016/j.dib.2018.11.111,1.0,1.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.143,0.143,0.143,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
791,AlCrFeCoNiCuTi,Unknown,,,,,1234.0,9.0,,dx.doi.org/10.1016/j.matchar.2016.02.018,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.143,0.143,0.143,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
572,FeCoNi1.5CuB0.5Y0.2,FCC,,,,,1217.74,,"−196 °C, 36 h, 1 °C/min",https://doi.org/10.1016/j.jallcom.2022.164310,1.0,0.0,0.0,0.0,0.0,0.0,0.096,0.0,0.0,0.192,0.0,0.192,0.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.0,0.0,Cu_Fe_DB.csv,,,,,,,,,
